instrumentid,loctimestamp,volatility
EU0009658145PV1D1,2000-06-29 00:00:00,0.173978
EU0009658145PV1D1,2000-06-30 00:00:00,0.159416
EU0009658145PV1D1,2000-07-03 00:00:00,0.116104
EU0009658145PV1D1,2000-07-04 00:00:00,0.0939303
EU0009658145PV1D1,2000-07-05 00:00:00,0.146573
EU0009658145PV1D1,2000-07-06 00:00:00,0.132838
EU0009658145PV1D1,2000-07-07 00:00:00,0.153837
EU0009658145PV1D1,2000-07-10 00:00:00,0.126695
EU0009658145PV1D1,2000-07-11 00:00:00,0.135479
EU0009658145PV1D1,2000-07-12 00:00:00,0.10141
EU0009658145PV1D1,2000-07-13 00:00:00,0.101673
EU0009658145PV1D1,2000-07-14 00:00:00,0.0981792
EU0009658145PV1D1,2000-07-17 00:00:00,0.0925349
EU0009658145PV1D1,2000-07-18 00:00:00,0.106215
EU0009658145PV1D1,2000-07-19 00:00:00,0.0850155
EU0009658145PV1D1,2000-07-20 00:00:00,0.114374
EU0009658145PV1D1,2000-07-21 00:00:00,0.121625
EU0009658145PV1D1,2000-07-24 00:00:00,0.121923
EU0009658145PV1D1,2000-07-25 00:00:00,0.0978053
EU0009658145PV1D1,2000-07-26 00:00:00,0.130741
EU0009658145PV1D1,2000-07-27 00:00:00,0.269299
EU0009658145PV1D1,2000-07-28 00:00:00,0.256023
EU0009658145PV1D1,2000-07-31 00:00:00,0.147002
EU0009658145PV1D1,2000-08-01 00:00:00,0.111071
EU0009658145PV1D1,2000-08-02 00:00:00,0.124544
EU0009658145PV1D1,2000-08-03 00:00:00,0.159066
EU0009658145PV1D1,2000-08-04 00:00:00,0.162221
EU0009658145PV1D1,2000-08-07 00:00:00,0.113382
EU0009658145PV1D1,2000-08-08 00:00:00,0.11441
EU0009658145PV1D1,2000-08-09 00:00:00,0.107429
EU0009658145PV1D1,2000-08-10 00:00:00,0.109711
EU0009658145PV1D1,2000-08-11 00:00:00,0.118608
EU0009658145PV1D1,2000-08-14 00:00:00,0.11357
EU0009658145PV1D1,2000-08-15 00:00:00,0.108032
EU0009658145PV1D1,2000-08-16 00:00:00,0.08816
EU0009658145PV1D1,2000-08-17 00:00:00,0.107657
EU0009658145PV1D1,2000-08-18 00:00:00,0.0981584
EU0009658145PV1D1,2000-08-21 00:00:00,0.10126
EU0009658145PV1D1,2000-08-22 00:00:00,0.0844095
EU0009658145PV1D1,2000-08-23 00:00:00,0.104672
EU0009658145PV1D1,2000-08-24 00:00:00,0.108414
EU0009658145PV1D1,2000-08-25 00:00:00,0.12149
EU0009658145PV1D1,2000-08-28 00:00:00,0.0966446
EU0009658145PV1D1,2000-08-29 00:00:00,0.110549
EU0009658145PV1D1,2000-08-30 00:00:00,0.106549
EU0009658145PV1D1,2000-08-31 00:00:00,0.101354
EU0009658145PV1D1,2000-09-01 00:00:00,0.163527
EU0009658145PV1D1,2000-09-04 00:00:00,0.132749
EU0009658145PV1D1,2000-09-05 00:00:00,0.118113
EU0009658145PV1D1,2000-09-06 00:00:00,0.130044
EU0009658145PV1D1,2000-09-07 00:00:00,0.11748
EU0009658145PV1D1,2000-09-08 00:00:00,0.118824
EU0009658145PV1D1,2000-09-11 00:00:00,0.122553
EU0009658145PV1D1,2000-09-12 00:00:00,0.130792
EU0009658145PV1D1,2000-09-13 00:00:00,0.144231
EU0009658145PV1D1,2000-09-14 00:00:00,0.140342
EU0009658145PV1D1,2000-09-15 00:00:00,0.125771
EU0009658145PV1D1,2000-09-18 00:00:00,0.186694
EU0009658145PV1D1,2000-09-19 00:00:00,0.180304
EU0009658145PV1D1,2000-09-20 00:00:00,0.176957
EU0009658145PV1D1,2000-09-21 00:00:00,0.22084
EU0009658145PV1D1,2000-09-22 00:00:00,0.281379
EU0009658145PV1D1,2000-09-25 00:00:00,0.188271
EU0009658145PV1D1,2000-09-26 00:00:00,0.193245
EU0009658145PV1D1,2000-09-27 00:00:00,0.156488
EU0009658145PV1D1,2000-09-28 00:00:00,0.162235
EU0009658145PV1D1,2000-09-29 00:00:00,0.14841
EU0009658145PV1D1,2000-10-02 00:00:00,0.163958
EU0009658145PV1D1,2000-10-03 00:00:00,0.103963
EU0009658145PV1D1,2000-10-04 00:00:00,0.181794
EU0009658145PV1D1,2000-10-05 00:00:00,0.145757
EU0009658145PV1D1,2000-10-06 00:00:00,0.144163
EU0009658145PV1D1,2000-10-09 00:00:00,0.18919
EU0009658145PV1D1,2000-10-10 00:00:00,0.184341
EU0009658145PV1D1,2000-10-11 00:00:00,0.325887
EU0009658145PV1D1,2000-10-12 00:00:00,0.312402
EU0009658145PV1D1,2000-10-13 00:00:00,0.33261
EU0009658145PV1D1,2000-10-16 00:00:00,0.288143
EU0009658145PV1D1,2000-10-17 00:00:00,0.165553
EU0009658145PV1D1,2000-10-18 00:00:00,0.409422
EU0009658145PV1D1,2000-10-19 00:00:00,0.375354
EU0009658145PV1D1,2000-10-20 00:00:00,0.269213
EU0009658145PV1D1,2000-10-23 00:00:00,0.174239
EU0009658145PV1D1,2000-10-24 00:00:00,0.180474
EU0009658145PV1D1,2000-10-25 00:00:00,0.24107
EU0009658145PV1D1,2000-10-26 00:00:00,0.248285
EU0009658145PV1D1,2000-10-27 00:00:00,0.175307
EU0009658145PV1D1,2000-10-30 00:00:00,0.129165
EU0009658145PV1D1,2000-10-31 00:00:00,0.156991
EU0009658145PV1D1,2000-11-01 00:00:00,0.146669
EU0009658145PV1D1,2000-11-02 00:00:00,0.118377
EU0009658145PV1D1,2000-11-03 00:00:00,0.143939
EU0009658145PV1D1,2000-11-06 00:00:00,0.100889
EU0009658145PV1D1,2000-11-07 00:00:00,0.121905
EU0009658145PV1D1,2000-11-08 00:00:00,0.137121
EU0009658145PV1D1,2000-11-09 00:00:00,0.173389
EU0009658145PV1D1,2000-11-10 00:00:00,0.170449
EU0009658145PV1D1,2000-11-13 00:00:00,0.22859
EU0009658145PV1D1,2000-11-14 00:00:00,0.184928
EU0009658145PV1D1,2000-11-15 00:00:00,0.158697
EU0009658145PV1D1,2000-11-16 00:00:00,0.145916
EU0009658145PV1D1,2000-11-17 00:00:00,0.220588
EU0009658145PV1D1,2000-11-20 00:00:00,0.164309
EU0009658145PV1D1,2000-11-21 00:00:00,0.196852
EU0009658145PV1D1,2000-11-22 00:00:00,0.186272
EU0009658145PV1D1,2000-11-23 00:00:00,0.116516
EU0009658145PV1D1,2000-11-24 00:00:00,0.172359
EU0009658145PV1D1,2000-11-27 00:00:00,0.162901
EU0009658145PV1D1,2000-11-28 00:00:00,0.16161
EU0009658145PV1D1,2000-11-29 00:00:00,0.230324
EU0009658145PV1D1,2000-11-30 00:00:00,0.267972
EU0009658145PV1D1,2000-12-01 00:00:00,0.197687
EU0009658145PV1D1,2000-12-04 00:00:00,0.174958
EU0009658145PV1D1,2000-12-05 00:00:00,0.20412
EU0009658145PV1D1,2000-12-06 00:00:00,0.177597
EU0009658145PV1D1,2000-12-07 00:00:00,0.297252
EU0009658145PV1D1,2000-12-08 00:00:00,0.124861
EU0009658145PV1D1,2000-12-11 00:00:00,0.176122
EU0009658145PV1D1,2000-12-12 00:00:00,0.149885
EU0009658145PV1D1,2000-12-13 00:00:00,0.190074
EU0009658145PV1D1,2000-12-14 00:00:00,0.200485
EU0009658145PV1D1,2000-12-15 00:00:00,0.251501
EU0009658145PV1D1,2000-12-18 00:00:00,0.162582
EU0009658145PV1D1,2000-12-19 00:00:00,0.206492
EU0009658145PV1D1,2000-12-20 00:00:00,0.37047
EU0009658145PV1D1,2000-12-21 00:00:00,0.38848
EU0009658145PV1D1,2000-12-22 00:00:00,0.117975
EU0009658145PV1D1,2000-12-27 00:00:00,0.127387
EU0009658145PV1D1,2000-12-28 00:00:00,0.132928
EU0009658145PV1D1,2000-12-29 00:00:00,0.10561
EU0009658145PV1D1,2001-01-02 00:00:00,0.227588
EU0009658145PV1D1,2001-01-03 00:00:00,0.285048
EU0009658145PV1D1,2001-01-04 00:00:00,0.51022
EU0009658145PV1D1,2001-01-05 00:00:00,0.228303
EU0009658145PV1D1,2001-01-08 00:00:00,0.192267
EU0009658145PV1D1,2001-01-09 00:00:00,0.283541
EU0009658145PV1D1,2001-01-10 00:00:00,0.154608
EU0009658145PV1D1,2001-01-11 00:00:00,0.145956
EU0009658145PV1D1,2001-01-12 00:00:00,0.159896
EU0009658145PV1D1,2001-01-15 00:00:00,0.110097
EU0009658145PV1D1,2001-01-16 00:00:00,0.126816
EU0009658145PV1D1,2001-01-17 00:00:00,0.179531
EU0009658145PV1D1,2001-01-18 00:00:00,0.146046
EU0009658145PV1D1,2001-01-19 00:00:00,0.18409
EU0009658145PV1D1,2001-01-22 00:00:00,0.139341
EU0009658145PV1D1,2001-01-23 00:00:00,0.182323
EU0009658145PV1D1,2001-01-24 00:00:00,0.150529
EU0009658145PV1D1,2001-01-25 00:00:00,0.142446
EU0009658145PV1D1,2001-01-26 00:00:00,0.168286
