r_old;vol_old;;r;volatility;;
0.093218914;0.012598816;;0.01;0.5;a;1
0.095632286;0.012598816;;-0.034934611;0.5;b;1
0.119902717;0.012598816;;0.095086521;0.5;sigma;0.5
0.115290758;0.012598816;;0.010378603;0.5;;
0.097243756;0.012598816;;0.131636766;0.5;;
0.068874559;0.012598816;;-0.133986987;0.5;;
0.118076764;0.012598816;;0.111500387;0.5;;
0.087618685;0.012598816;;0.11057885;0.5;;
0.13533637;0.012598816;;0.062724629;0.5;;
0.099675544;0.012598816;;-0.107600582;0.5;;
0.09323179;0.012598816;;0.145892332;0.5;;
0.098380377;0.012598816;;0.081670292;0.5;;
0.105971536;0.012598816;;-0.041966231;0.5;;
0.107918244;0.012598816;;-0.138250433;0.5;;
0.101306903;0.012598816;;0.027925746;0.5;;
0.104266019;0.012598816;;-0.048594753;0.5;;
0.093242457;0.012598816;;0.16805702;0.5;;
0.094345067;0.012598816;;0.086722382;0.5;;
0.100915033;0.012598816;;-0.04664415;0.5;;
0.104273794;0.012598816;;-0.131709681;0.5;;
0.100888641;0.012598816;;0.240797589;0.5;;
0.114935648;0.012598816;;0.276027076;0.5;;
0.080977052;0.012598816;;0.109334425;0.5;;
0.096156158;0.012598816;;-0.042419163;0.5;;
0.104411706;0.012598816;;-0.005813297;0.5;;
0.090565568;0.012598816;;0.03966406;0.5;;
0.104719562;0.012598816;;0.07016282;0.5;;
0.085693718;0.012598816;;0.034641428;0.5;;
0.099624384;0.012598816;;-0.025644621;0.5;;
0.081310967;0.012598816;;0.071326988;0.5;;
0.095446664;0.012598816;;0.068642922;0.5;;
0.105600374;0.012598816;;0.079490922;0.5;;
0.10568778;0.012598816;;-0.177617151;0.5;;
0.116213;0.012598816;;0.089136048;0.5;;
0.118406902;0.012598816;;-0.042379867;0.5;;
0.107632116;0.012598816;;0.078562231;0.5;;
0.101352607;0.012598816;;-0.039251353;0.5;;
0.106078771;0.012598816;;0.016511347;0.5;;
0.108163271;0.012598816;;-0.083121296;0.5;;
0.119895675;0.012598816;;0.154749564;0.5;;
0.108956616;0.012598816;;-0.109023526;0.5;;
0.107144116;0.012598816;;0.072469868;0.5;;
0.104875259;0.012598816;;0.155659527;0.5;;
0.084127779;0.012598816;;-0.038601233;0.5;;
0.091254157;0.012598816;;0.13199813;0.5;;
0.113078887;0.012598816;;0.07714687;0.5;;
0.097545981;0.012598816;;0.053411508;0.5;;
0.100370635;0.012598816;;0.277710304;0.5;;
0.088225081;0.012598816;;-0.029311252;0.5;;
0.109111484;0.012598816;;0.050592698;0.5;;
0.118443071;0.012598816;;0.114479669;0.5;;
0.090420814;0.012598816;;-0.090969058;0.5;;
0.105476937;0.012598816;;-0.010787503;0.5;;
0.119067014;0.012598816;;0.099420015;0.5;;
0.109000256;0.012598816;;-0.024555945;0.5;;
0.093582631;0.012598816;;0.09313039;0.5;;
0.115857161;0.012598816;;0.001831251;0.5;;
0.093568667;0.012598816;;-0.055725767;0.5;;
0.095632601;0.012598816;;0.080468376;0.5;;
0.10259611;0.012598816;;0.150612075;0.5;;
0.103262144;0.012598816;;-0.131187475;0.5;;
0.096809351;0.012598816;;-0.024158465;0.5;;
