instrumentid,loctimestamp,maturity,measure
DE0009652396QVEXP1D1,2004-09-06 00:00:00,30 days,0.169559
DE0009652396QVEXP1D1,2004-09-07 00:00:00,30 days,0.168576
DE0009652396QVEXP1D1,2004-09-08 00:00:00,30 days,0.170596
DE0009652396QVEXP1D1,2004-09-09 00:00:00,30 days,0.172968
DE0009652396QVEXP1D1,2004-09-10 00:00:00,30 days,0.172616
DE0009652396QVEXP1D1,2004-09-13 00:00:00,30 days,0.171874
DE0009652396QVEXP1D1,2004-09-14 00:00:00,30 days,0.166283
DE0009652396QVEXP1D1,2004-09-15 00:00:00,30 days,0.166804
DE0009652396QVEXP1D1,2004-09-16 00:00:00,30 days,0.168499
DE0009652396QVEXP1D1,2004-09-17 00:00:00,30 days,0.163418
DE0009652396QVEXP1D1,2004-09-20 00:00:00,30 days,0.17001
DE0009652396QVEXP1D1,2004-09-21 00:00:00,30 days,0.163257
DE0009652396QVEXP1D1,2004-09-22 00:00:00,30 days,0.173182
DE0009652396QVEXP1D1,2004-09-23 00:00:00,30 days,0.177222
DE0009652396QVEXP1D1,2004-09-24 00:00:00,30 days,0.167355
DE0009652396QVEXP1D1,2004-09-27 00:00:00,30 days,0.176549
DE0009652396QVEXP1D1,2004-09-28 00:00:00,30 days,0.174812
DE0009652396QVEXP1D1,2004-09-29 00:00:00,30 days,0.171753
DE0009652396QVEXP1D1,2004-09-30 00:00:00,30 days,0.172556
DE0009652396QVEXP1D1,2004-10-01 00:00:00,30 days,0.165855
DE0009652396QVEXP1D1,2004-10-04 00:00:00,30 days,0.176459
DE0009652396QVEXP1D1,2004-10-05 00:00:00,30 days,0.183118
DE0009652396QVEXP1D1,2004-10-06 00:00:00,30 days,0.188553
DE0009652396QVEXP1D1,2004-10-07 00:00:00,30 days,0.189037
DE0009652396QVEXP1D1,2004-10-08 00:00:00,30 days,0.193561
DE0009652396QVEXP1D1,2004-10-11 00:00:00,30 days,0.210666
DE0009652396QVEXP1D1,2004-10-12 00:00:00,30 days,0.230821
DE0009652396QVEXP1D1,2004-10-13 00:00:00,30 days,0.2508
DE0009652396QVEXP1D1,2004-10-14 00:00:00,30 days,0.300123
DE0009652396QVEXP1D1,2004-10-21 00:00:00,30 days,0.174936
DE0009652396QVEXP1D1,2004-10-22 00:00:00,30 days,0.17077
DE0009652396QVEXP1D1,2004-10-25 00:00:00,30 days,0.194275
DE0009652396QVEXP1D1,2004-10-26 00:00:00,30 days,0.18866
DE0009652396QVEXP1D1,2004-10-27 00:00:00,30 days,0.181763
