instrumentid,loctimestamp,openprice,highprice,lowprice,lastprice,volume
EU0009658145D1,2000-06-29,5229.42,5232.59,5055.85,5061.63,
EU0009658145D1,2000-06-30,5063.02,5157.98,5059,5145.35,
EU0009658145D1,2000-07-03,5151.24,5187.87,5125.87,5187.01,
EU0009658145D1,2000-07-04,5190.38,5202.2,5158.44,5185.87,
EU0009658145D1,2000-07-05,5186.58,5259.89,5160.25,5166.25,
EU0009658145D1,2000-07-06,5165.98,5165.98,5126.6,5152.38,
EU0009658145D1,2000-07-07,5152.55,5251.65,5152.55,5251.65,
EU0009658145D1,2000-07-10,5252.4,5278.48,5239.79,5263.97,
EU0009658145D1,2000-07-11,5261.46,5269.49,5187.08,5231.33,
EU0009658145D1,2000-07-12,5234.7,5277.1,5231.98,5249.15,
EU0009658145D1,2000-07-13,5249.19,5310.26,5219.89,5299.54,
EU0009658145D1,2000-07-14,5298.66,5342.93,5289.98,5320.06,
EU0009658145D1,2000-07-17,5319.98,5367.82,5319.66,5357.19,
EU0009658145D1,2000-07-18,5352.56,5355.51,5305.88,5314.95,
EU0009658145D1,2000-07-19,5315.75,5329.4,5273.67,5294.76,
EU0009658145D1,2000-07-20,5294.37,5318.99,5275.42,5316.51,
EU0009658145D1,2000-07-21,5316.42,5316.84,5237.37,5238.02,
EU0009658145D1,2000-07-24,5239.55,5284.89,5220.25,5237.95,
EU0009658145D1,2000-07-25,5234.22,5261.67,5203.06,5212.83,
EU0009658145D1,2000-07-26,5214.31,5238.7,5202.62,5222.83,
EU0009658145D1,2000-07-27,5216.88,5269.16,5096.17,5097.41,
EU0009658145D1,2000-07-28,5097.52,5123.69,5043.28,5061.83,
EU0009658145D1,2000-07-31,5059.91,5135.37,5049.07,5122.8,
EU0009658145D1,2000-08-01,5124.89,5143.79,5088.37,5104.23,
EU0009658145D1,2000-08-02,5104.59,5126.7,5052.92,5091.86,
EU0009658145D1,2000-08-03,5092.1,5092.1,4984.52,4995.82,
EU0009658145D1,2000-08-04,4996.11,5088.18,4996.11,5049.45,
EU0009658145D1,2000-08-07,5051.32,5096.27,5051.32,5088.41,
EU0009658145D1,2000-08-08,5087.78,5134.74,5070.02,5105.52,
EU0009658145D1,2000-08-09,5107.21,5186.26,5107.21,5158.12,
EU0009658145D1,2000-08-10,5159,5214.04,5153.09,5182.06,
EU0009658145D1,2000-08-11,5181.89,5202.05,5143.2,5179.68,
EU0009658145D1,2000-08-14,5181.06,5243.54,5176.8,5218.59,
EU0009658145D1,2000-08-15,5218.79,5250.09,5194.36,5203.14,
EU0009658145D1,2000-08-16,5203.36,5239.41,5198.1,5223.7,
EU0009658145D1,2000-08-17,5223.62,5228.93,5156.95,5192.06,
EU0009658145D1,2000-08-18,5191.62,5217.13,5167.97,5180.7,
EU0009658145D1,2000-08-21,5181.31,5184.73,5140.21,5165.44,
EU0009658145D1,2000-08-22,5165.26,5201.21,5157.07,5161.42,
EU0009658145D1,2000-08-23,5163.33,5174.49,5119.85,5160.14,
EU0009658145D1,2000-08-24,5158.79,5178.84,5119.69,5123.99,
EU0009658145D1,2000-08-25,5121.94,5205.48,5121.94,5175.65,
EU0009658145D1,2000-08-28,5175.45,5225.91,5175.2,5204.18,
EU0009658145D1,2000-08-29,5202.67,5207.08,5162.58,5188.93,
EU0009658145D1,2000-08-30,5189.52,5206.25,5157,5166.91,
EU0009658145D1,2000-08-31,5167.48,5196.37,5133.08,5175.12,
EU0009658145D1,2000-09-01,5188.83,5328.9,5188.83,5298.64,
EU0009658145D1,2000-09-04,5301.96,5394.9,5301.96,5392.63,
EU0009658145D1,2000-09-05,5392.43,5398.31,5324.6,5326.69,
EU0009658145D1,2000-09-06,5313.62,5346.24,5295.48,5299.24,
EU0009658145D1,2000-09-07,5298.58,5331.26,5284.21,5329.06,
EU0009658145D1,2000-09-08,5330.05,5333.62,5225.91,5229.04,
EU0009658145D1,2000-09-11,5225.02,5245.08,5194.65,5233.87,
EU0009658145D1,2000-09-12,5228.08,5235.35,5196.29,5222.37,
EU0009658145D1,2000-09-13,5217.65,5246.56,5135.87,5153.2,
EU0009658145D1,2000-09-14,5158.91,5222.52,5155.93,5204.62,
EU0009658145D1,2000-09-15,5204.99,5219.65,5172.89,5199.14,
EU0009658145D1,2000-09-18,5182.45,5183.9,5109.12,5129.43,
EU0009658145D1,2000-09-19,5111.55,5120.57,5081.56,5117.15,
EU0009658145D1,2000-09-20,5145.55,5152.86,5042.9,5051.4,
EU0009658145D1,2000-09-21,5051.64,5062.49,4906.19,4941.06,
EU0009658145D1,2000-09-22,4939.68,4945.37,4812.9,4945.37,
EU0009658145D1,2000-09-25,4967,4997.07,4961.96,4984.29,
EU0009658145D1,2000-09-26,4958.53,4973.62,4930.13,4934.89,
EU0009658145D1,2000-09-27,4933.18,4988.77,4904.13,4949.87,
EU0009658145D1,2000-09-28,4950.28,4974.36,4889.7,4934.08,
EU0009658145D1,2000-09-29,4946.35,4969.07,4886.39,4915.18,
EU0009658145D1,2000-10-02,4914.82,4973.65,4882.1,4961.88,
EU0009658145D1,2000-10-03,4959.41,5019.74,4949.7,5003.46,
EU0009658145D1,2000-10-04,5003.62,5016.6,4942.58,4959.41,
EU0009658145D1,2000-10-05,4957.76,5014.64,4954.61,4997.25,
EU0009658145D1,2000-10-06,4988.78,5014.58,4940.11,4958.37,
EU0009658145D1,2000-10-09,4950.1,4950.1,4835.14,4844.44,
EU0009658145D1,2000-10-10,4862.02,4901.84,4843.82,4867.33,
EU0009658145D1,2000-10-11,4856.84,4856.84,4726.45,4743.47,
EU0009658145D1,2000-10-12,4761.17,4816.83,4676.87,4747.87,
EU0009658145D1,2000-10-13,4715.16,4782.74,4643.06,4782.74,
EU0009658145D1,2000-10-16,4813.07,4842.95,4779.8,4793.14,
EU0009658145D1,2000-10-17,4792.81,4823.18,4760.06,4760.92,
EU0009658145D1,2000-10-18,4759.33,4759.33,4558.37,4658.85,
EU0009658145D1,2000-10-19,4658.78,4838.24,4658.78,4836.86,
EU0009658145D1,2000-10-20,4858.79,4913.11,4807.67,4889.51,
EU0009658145D1,2000-10-23,4888.73,4925.39,4861.03,4906.67,
EU0009658145D1,2000-10-24,4906.65,5033.83,4893.97,5031.03,
EU0009658145D1,2000-10-25,5011.03,5011.03,4926,4977.07,
EU0009658145D1,2000-10-26,4977.9,4997.58,4922.34,4926.36,
EU0009658145D1,2000-10-27,4937.14,5008.16,4937.14,4965.92,
EU0009658145D1,2000-10-30,4974.52,4991.36,4946.12,4981.38,
EU0009658145D1,2000-10-31,4981.5,5063.74,4981.5,5057.46,
EU0009658145D1,2000-11-01,5069.03,5093.88,5032.49,5085.47,
EU0009658145D1,2000-11-02,5088.51,5119.3,5074.62,5092.63,
EU0009658145D1,2000-11-03,5093.5,5114.72,5071.3,5101.4,
EU0009658145D1,2000-11-06,5106.31,5125.28,5084.52,5091.25,
EU0009658145D1,2000-11-07,5081.82,5093.74,5042.52,5076.8,
EU0009658145D1,2000-11-08,5076.84,5121,5053.89,5055.05,
EU0009658145D1,2000-11-09,5049.43,5056.24,4983.69,5017.69,
EU0009658145D1,2000-11-10,5013.61,5037.88,4930.76,4934.47,
EU0009658145D1,2000-11-13,4922.06,4922.06,4815.13,4847.46,
EU0009658145D1,2000-11-14,4846.85,5011.12,4846.85,5011.12,
EU0009658145D1,2000-11-15,5022.32,5058.18,4993.65,5053.48,
EU0009658145D1,2000-11-16,5055.03,5055.03,4968.39,5010.65,
EU0009658145D1,2000-11-17,4994.28,5024.2,4957.02,4961.54,
EU0009658145D1,2000-11-20,4971.82,4989.32,4841.85,4849.33,
EU0009658145D1,2000-11-21,4851.24,4901.48,4823.78,4893.95,
EU0009658145D1,2000-11-22,4895.22,4895.22,4776.58,4783.23,
EU0009658145D1,2000-11-23,4781.53,4841.1,4761.33,4837.48,
EU0009658145D1,2000-11-24,4844.29,4954.79,4821.42,4940.22,
EU0009658145D1,2000-11-27,4945.06,5018.98,4944.12,4945.34,
EU0009658145D1,2000-11-28,4947.34,4959.34,4879.18,4893.46,
EU0009658145D1,2000-11-29,4878.35,4921.83,4826.91,4907.61,
EU0009658145D1,2000-11-30,4907.49,4907.49,4788.97,4790.08,
EU0009658145D1,2000-12-01,4801.55,4859.66,4800.32,4839.27,
EU0009658145D1,2000-12-04,4835.3,4835.3,4712.91,4734.72,
EU0009658145D1,2000-12-05,4752.58,4911.93,4752.58,4911.93,
EU0009658145D1,2000-12-06,4911.78,4951.14,4868.07,4869.48,
EU0009658145D1,2000-12-07,4860.48,4922.76,4811.31,4900.6,
EU0009658145D1,2000-12-08,4901.24,4983.07,4885.29,4889.72,
EU0009658145D1,2000-12-11,4895.02,4977.63,4895.02,4970.66,
EU0009658145D1,2000-12-12,4966.85,4984.1,4938.78,4947.72,
EU0009658145D1,2000-12-13,4955.4,4995.4,4884.17,4890.16,
EU0009658145D1,2000-12-14,4884.99,4884.99,4788.23,4810.94,
EU0009658145D1,2000-12-15,4798.85,4798.85,4713.66,4718,
EU0009658145D1,2000-12-18,4724.6,4803.7,4721.32,4744.26,
EU0009658145D1,2000-12-19,4734.78,4823.86,4699.34,4814.64,
EU0009658145D1,2000-12-20,4790.8,4790.8,4620.49,4641.15,
EU0009658145D1,2000-12-21,4616.06,4666.08,4537.83,4614.24,
EU0009658145D1,2000-12-22,4609.43,4658.82,4607.83,4655.87,
EU0009658145D1,2000-12-27,4670.07,4724.52,4659.42,4721.49,
EU0009658145D1,2000-12-28,4729.5,4774.38,4729.5,4770.9,
EU0009658145D1,2000-12-29,4766.56,4817.27,4766.5,4772.39,
EU0009658145D1,2001-01-02,4769.26,4812.49,4694.63,4701.68,
EU0009658145D1,2001-01-03,4680.76,4680.76,4592.7,4660.48,
EU0009658145D1,2001-01-04,4660.31,4801.15,4660.31,4752.71,
EU0009658145D1,2001-01-05,4747.93,4794.04,4702.2,4734.48,
EU0009658145D1,2001-01-08,4717.68,4717.68,4683.58,4711.31,
EU0009658145D1,2001-01-09,4718.64,4748.76,4591.22,4641.79,
EU0009658145D1,2001-01-10,4644.41,4648.82,4571.65,4598.82,
EU0009658145D1,2001-01-11,4598.06,4688.45,4598.06,4686.88,
